Shop ID;Shop
1;bol.com
512098;Amazon.nl
4502;MediaMarkt.nl
333289;bol.com
651560;Amazon.nl
651034;Amazon.com.be
12320;Lobbes.nl
643559;NL.grandado.com
652508;Tradeinn.com
15720;Intratuin.nl
38263;Deloox.nl
647854;Jumbosports.com
652337;Wibra.nl
37190;Shoppartners.nl
614134;Notino.nl
21456;EP.nl
643041;Productpine.com
2814;Toolmax.nl
642665;LaRedoute.nl
305;Expert.nl
16034;Drogist.nl
37;Nedgame.nl
3100;Douglas.nl
4570;vidaXL.nl
644705;DeBijenkorf.nl
15683;Footlocker.nl
653060;Coolblue.be
2648;Rietveldlicht.nl
598162;Vente-unique.nl
2436;Toolstation.nl
485942;Warentuin.nl
84116;Bomont.nl
19;Wehkamp.nl
598481;123schoon.nl
600228;X2o.nl
647727;Proshop.nl
652149;Hema.nl
645072;DGMoutlet.nl
215032;Mediamarkt.be
651765;Makro.nl
650947;Deubaxxl.nl
428348;Xlmoto.nl
652318;VD.nl
642929;Plein.nl
645701;Bijdegroothandel.com
21398;Brekz.nl
358561;Vente-unique.be
15635;Decathlon.nl
653207;Toychamp.be
651296;Gezonderwinkelen.nl
605740;Vikingchoice.nl
519715;Intersporttwinsport.nl
644838;Bakerross.nl
651585;Galaxus.nl
643509;Naduvi.nl
598659;Kabelshop.nl
652129;Haarspullen.nl
594843;Junai.nl
651764;Welhof.com
641355;Sanitairkamer.nl
645782;Kampeerhalroden.nl
3718;Knivesandtools.nl
652171;Topshoe.nl
40096;Voetbalshop.nl
207860;Hbm-machines.com
2513;Kruidvat.nl
651824;Kixx.nl
2216;123inkt.nl
399016;To-be-dressed.nl
653059;Coolblue.nl
647187;Sawiday.be
196024;All4running.nl
234822;Nolten.nl
182;Kamera-express.nl
35075;Parfumdreams.nl
13500;Installand.nl
643583;Blokker.nl
2833;Sanitairwinkel.nl
118899;Vandenheuvelverlichting.nl
327230;Lampen24.nl
3095;OUD_Zooplus.nl
595877;adidas.nl
652806;Toychamp.nl
2353;Lampenlicht.nl
67;Cameranu.nl
190;Otto.nl
651044;Officecentre.nl
191550;Parfum-Klik.nl
642810;Emob.nl
652438;Productpine.com
476479;123accu.nl
4628;Parfumswinkel.nl
43402;Electroworld.nl
645454;Lobbesspeelgoed.be
15590;Bever.nl
651046;Philips.nl
599127;Beddenbriljant.nl
652136;Viata.nl
15407;Spellenrijk.nl
16062;Tegeldepot.nl
229758;Spartoo.nl
2382;HelloTV.nl
15490;Petdirect.nl
